model,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership,loan_intent,loan_grade,cb_person_default_on_file,probability,loan_status,Client
DT1,36.0,36000.0,7.0,16000.0,8.9,0.44,17.0,3.0,4.0,0.0,0.0,1.0,1,Klant 1
DT2,25.0,40000.0,0.0,6000.0,7.66,0.15,3.0,3.0,1.0,0.0,0.0,0.17801355732390214,0,Klant 2
DT3,22.0,18000.0,1.0,5400.0,15.31,0.3,4.0,2.0,1.0,3.0,1.0,0.5093632958801498,1,Klant 3
DT4,26.0,29000.0,1.0,1000.0,11.28,0.03,3.0,3.0,1.0,2.0,0.0,0.38253706754530475,0,Klant 4
RF1,36.0,36000.0,7.0,16000.0,8.9,0.44,17.0,3.0,4.0,0.0,0.0,1.0,1,Klant 5
RF2,24.0,41000.0,4.0,10000.0,6.99,0.24,4.0,3.0,1.0,0.0,0.0,0.0,0,Klant 6
RF3,27.0,116000.0,0.0,3500.0,12.53,0.03,10.0,0.0,1.0,2.0,0.0,0.625,1,Klant 7
RF4,38.0,35000.0,6.0,5000.0,9.99,0.14,14.0,3.0,4.0,1.0,0.0,0.375,0,Klant 8
LR1,22.0,48000.0,1.0,30000.0,18.39,0.63,2.0,3.0,1.0,4.0,0.0,0.982494394748692,1,Klant 9
LR2,44.0,1440000.0,7.0,6400.0,7.4,0.0,15.0,0.0,0.0,0.0,0.0,9.76909406523538e-20,0,Klant 10
LR3,29.0,68004.0,3.0,18000.0,10.0,0.26,9.0,3.0,3.0,1.0,0.0,0.5098936837343359,1,Klant 11
LR4,26.0,34000.0,4.0,12250.0,6.91,0.36,4.0,0.0,4.0,0.0,0.0,0.4900000498057146,0,Klant 12
