model,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership,loan_intent,loan_grade,cb_person_default_on_file,probability,loan_status,Client
DT1,28.0,63000.0,4.0,25000.0,11.36,0.4,8.0,3.0,3.0,1.0,0.0,1.0,1,Klant 1
DT2,35.0,80000.0,7.0,2000.0,12.99,0.03,9.0,3.0,5.0,2.0,1.0,0.059548811056161506,0,Klant 2
DT3,34.0,108000.0,4.0,25000.0,20.03,0.23,8.0,0.0,0.0,6.0,0.0,0.9326923076923077,1,Klant 3
DT4,27.0,65000.0,0.0,22000.0,14.09,0.34,6.0,0.0,2.0,3.0,1.0,0.4972972972972973,0,Klant 4
RF1,29.0,16800.0,4.0,5000.0,6.92,0.3,10.0,3.0,2.0,0.0,0.0,1.0,1,Klant 5
RF2,32.0,62000.0,3.0,20000.0,11.36,0.32,9.0,0.0,1.0,1.0,0.0,0.0,0,Klant 6
RF3,25.0,29000.0,4.0,4000.0,16.29,0.14,4.0,3.0,3.0,3.0,0.0,0.625,1,Klant 7
RF4,23.0,59000.0,0.0,21600.0,11.89,0.37,2.0,0.0,1.0,1.0,0.0,0.375,0,Klant 8
LR1,22.0,60350.0,6.0,35000.0,16.89,0.49,3.0,0.0,3.0,3.0,0.0,0.778206015974599,1,Klant 9
LR2,42.0,2039784.0,0.0,8450.0,12.29,0.0,15.0,3.0,5.0,2.0,1.0,1.395218434656465e-35,0,Klant 10
LR3,23.0,38400.0,7.0,15000.0,6.17,0.39,2.0,3.0,1.0,0.0,0.0,0.5098249246740703,1,Klant 11
LR4,36.0,22000.0,0.0,8000.0,6.99,0.36,17.0,0.0,1.0,0.0,0.0,0.49012563465574926,0,Klant 12
